,Freq
romantic_JJ,1
room_NN,1
room_NNS,1
row_NN,1
run_VV,1
run_VVG,1
run_VVN,1
sans_NN,1
satisfy_VVN,1
save_VVN,1
saving_NNS,1
say_VVD,1
scan_NN,1
scary_JJ,1
school_NN,1
science_NN,1
scissors_NN,1
screw_VVG,1
second_JJ,1
secondary_JJ,1
sedate_VVN,1
set_VVN,1
several_JJ,1
share_NN,1
show_VVD,1
side_VVN,1
sign_VV,1
sign_VVD,1
sleep_VVD,1
slowly_RB,1
sometimes_RB,1
soon_RB,1
sorry_JJ,1
sort_NN,1
space_NN,1
space_VVN,1
spend_VVG,1
spend_VVN,1
Stanford_NP,1
start_VV,1
stay_VVD,1
stick_VVD,1
stomach_NN,1
stop_VV,1
Story_NP,1
strongly_RB,1
student_NN,1
studio_NN,1
stumble_VVD,1
subtle_JJ,1
Sunday_NP,1
take_VVG,1
talented_JJ,1
taste_VVG,1
team_NN,1
technology_NN,1
tell_VVN,1
temple_NN,1
thank_VV,1
think_VVG,1
thinking_NN,1
third_JJ,1
throat_NN,1
together_RB,1
tool_NN,1
tool_NNS,1
touch_NN,1
town_NN,1
Toy_NP,1
trap_NN,1
trap_VVN,1
truth_NN,1
try_VV,1
try_VVD,1
tuition_NN,1
turn_VVN,1
type_NN,1
typewriter_NNS,1
unexpected_JJ,1
university_NNS,1
unwed_JJ,1
useful_JJ,1
valley_NN,1
value_NN,1
vary_VVG,1
view_VVD,1
vision_NNS,1
voice_NN,1
wait_VVG,1
walk_VV,1
want_VVZ,1
waste_VV,1
week_NN,1
Windows_NP,1
wish_VVN,1
wish_VVP,1
woman_NN,1
word_NNS,1
work_VV,1
work_VVD,1
working-class_JJ,1
Woz_NP,1
